Command,Duration,Type,Timestamp
"INSERT INTO orders (customer_id, product_id, quantity) VALUES (1, 2, 5)",1,OTHER,2022-07-23 09:01:40.341034
UPDATE products SET price = price * 1.1,5,UPDATE,2023-02-06 01:06:28.341034
ALTER TABLE products ADD COLUMN description TEXT,8,OTHER,2022-10-31 03:41:28.341034
SELECT * FROM users,1,SELECT,2023-02-27 22:44:46.341034
UPDATE products SET price = price * 1.1,8,UPDATE,2022-06-30 23:56:48.341034
"INSERT INTO orders (customer_id, product_id, quantity) VALUES (1, 2, 5)",7,OTHER,2022-07-16 17:59:57.341034
"CREATE TABLE employees (id INT, name VARCHAR(50))",7,OTHER,2023-03-29 07:22:35.341034
SELECT COUNT(*) FROM products,8,SELECT,2022-08-02 14:08:28.341034
UPDATE users SET password = 'new_password' WHERE id = 5,6,UPDATE,2023-05-03 00:54:51.341034
UPDATE users SET password = 'new_password' WHERE id = 5,2,UPDATE,2023-02-04 10:26:25.341034
"INSERT INTO orders (customer_id, product_id, quantity) VALUES (1, 2, 5)",2,OTHER,2022-11-02 11:58:01.341034
ALTER TABLE products ADD COLUMN description TEXT,2,OTHER,2022-08-15 01:58:50.341034
DELETE FROM customers WHERE id = 10,6,OTHER,2022-10-24 08:33:37.341034
UPDATE users SET password = 'new_password' WHERE id = 5,10,UPDATE,2022-07-16 04:16:44.341034
SELECT * FROM users,8,SELECT,2022-10-27 06:23:49.341034
UPDATE products SET price = price * 1.1,5,UPDATE,2022-07-11 04:12:50.341034
DELETE FROM customers WHERE id = 10,4,OTHER,2023-02-09 03:25:44.341034
"CREATE TABLE employees (id INT, name VARCHAR(50))",9,OTHER,2023-03-05 06:39:14.341034
"CREATE TABLE employees (id INT, name VARCHAR(50))",8,OTHER,2023-04-22 12:09:01.341034
SHOW TABLES,4,OTHER,2022-08-16 18:49:09.341034
SHOW TABLES,8,OTHER,2022-06-23 16:20:24.341034
UPDATE users SET password = 'new_password' WHERE id = 5,4,UPDATE,2022-12-04 20:12:59.341034
SELECT COUNT(*) FROM products,3,SELECT,2022-10-17 18:02:20.341034
UPDATE products SET price = price * 1.1,8,UPDATE,2023-06-10 18:55:50.341034
UPDATE products SET price = price * 1.1,9,UPDATE,2022-09-28 05:46:06.341034
UPDATE users SET password = 'new_password' WHERE id = 5,7,UPDATE,2022-06-26 19:18:25.341034
SHOW TABLES,6,OTHER,2023-06-02 10:50:30.341034
ALTER TABLE products ADD COLUMN description TEXT,7,OTHER,2022-07-05 08:02:04.341034
SHOW TABLES,6,OTHER,2022-06-25 02:42:27.341034
UPDATE users SET password = 'new_password' WHERE id = 5,9,UPDATE,2022-10-07 10:55:10.341034
SHOW TABLES,2,OTHER,2022-07-01 04:05:14.341034
UPDATE users SET password = 'new_password' WHERE id = 5,1,UPDATE,2023-03-25 12:24:33.341034
ALTER TABLE products ADD COLUMN description TEXT,5,OTHER,2022-08-22 16:36:11.341034
SELECT * FROM users,4,SELECT,2023-03-25 22:06:47.341034
"INSERT INTO orders (customer_id, product_id, quantity) VALUES (1, 2, 5)",3,OTHER,2023-04-20 17:42:59.341034
ALTER TABLE products ADD COLUMN description TEXT,8,OTHER,2022-07-30 14:29:52.341034
DELETE FROM customers WHERE id = 10,3,OTHER,2023-03-31 01:32:59.341034
DELETE FROM customers WHERE id = 10,3,OTHER,2023-02-14 06:57:14.341034
